productId,sellerId,productTitle,minPrice,maxPrice,discount,productPositiveRate,productAverageStar
32790907015,229582315,BARCUR Aluminum Vintage Men's Sunglasses Men Polarized Coating Classic Sun Glasses Women Shade Male Driving Accessories Eyewear,US $9.11,US $9.11,68,96.3,4.8
4000941462076,240172398,90% OFF! With Certificate Luxury 100% Original 925 Solid Silver Ring Topaz 2ct Zirconia Diamond Wedding Rings Bride Fine Jewelry,US $8.99,US $8.99,91,96.4,4.8
1005001530709110,239186647,Honey Blonde Wig Human Hair Lace Wigs Brazilian Straight Pre Plucked 13x1 Part Glueless Color Frontal 613 Lace Front Wig Hd Full,US $60.53,US $218.73,50,98.6,4.9
32836965398,230673652,2000-7000 Series 12BBs Spinning Fishing Reel Max Drag 20KG Carp Fishing Spinning Reel  Reels Left/Right Handle Fishing wheel,US $11.07,US $16.56,91,95.7,4.8
4000124615593,201909916,Sougayilang 2.1m 2.4m Spining Fishing Rod Reel Combo Portable 4 Section Carbon Fiber Pole 13+1BB Spining Fishing Wheel Set,US $34.38,US $37.80,91,96.6,4.8
4000294780456,220686053,Hair Straightener Flat Irons Straightening Brush Hot Heating Comb Hair Straight Styler Corrugation Curling Iron Hair Curler Comb,US $16.54,US $19.18,47,92.6,4.6
33002428453,206063348,Hot sell in korea 1800W LCD Touch Sous Vide Cooker Cooking Machine Sturdy Immersion Circulator Digital Timer Slow Cooker,US $46.80,US $90.00,82,97.8,4.9
4000622933215,240119948,LIGE Steel Band Smart Watch Men Heart Rate Blood Pressure Monitor Sport Multifunction Mode Fitness Tracker Waterproof Smartwatch,US $18.89,US $22.49,82,91.7,4.6
4000745586879,232909611,SANLEPUS Global Version Smart Watch IP67 Waterproof Smartwatch 2020 New Men Women Fitness Bracelet Band For Android Apple Xiaomi,US $25.19,US $37.32,72,96.7,4.8
32623005183,222084849,YIKALAISI 925 Sterling Silver Jewelry Natural Double Pearl Earrings Jewelry 8-9mm Fashion Long Earrings White Pink Purple Black,US $4.35,US $4.35,85,97.9,4.9
4001313112819,223277139,12+1BB Fishing Reel Left/Right Collapsible Handle Fishing Spinning Reel Ultra Light Smooth Rock Fishing Reel,US $10.78,US $17.64,86,98.2,4.9
32835328868,220239498,Mens Winter Pants Thick Warm Cargo Pants Casual Fleece Pockets Fur Trouser Plus Size 38 40 Fashion Loose Baggy Joger Worker Male,US $31.24,US $31.24,85,96.3,4.8
4000394287497,239484857,Portable Folding Pet Tent Dog House Octagonal Cage For Cat Tent Playpen Puppy Kennel Easy Operation Fence Outdoor Big Dogs House,US $12.48,US $26.18,84,95.6,4.8
4001234300775,240025621,TWS Bluetooth Headphones Bluetooth Earphones Wireless Gaming Headset Hifi Sound Earbuds with Microphone for xiaomi iphone phone,US $13.59,US $16.57,83,97.9,4.9
4000958626700,223029564,2020 NEW F3 drone GPS 4K 5G WiFi live video FPV quadrotor flight 25 minutes rc distance 500m drone HD wide-angle dual camera,US $45.33,US $108.35,78,94.1,4.7
1005001586344715,228331801,Mifa X3 True Wireles Stereo Earphones Bluetooth 5.0  Sport Earphone with microphone handsfree call charging Box,US $21.60,US $21.60,82,95.2,4.8
4000329364937,228497366,Massage Gun Jinkairui Electric Fascial LCD Deep Body Sport Therapy Muscle Pain Relief Neck Shaping Slimming Relaxation Massager,US $43.92,US $55.80,82,96.3,4.8
32961038442,231389210,2020LIGE New Fashion Mens Watches Top Brand Luxury Big Dial Military Quartz Watch Leather Waterproof Sport Chronograph Watch Men,US $23.99,US $23.99,92,96.5,4.8
32971684012,231389210,Relogio Masculino LIGE New Sport Chronograph Mens Watches Top Brand Luxury Full Steel Quartz Clock Waterproof Big Dial Watch Men,US $31.99,US $31.99,92,95.2,4.8
4001115238489,234720814,LIGE Womens Watches Top Brand Luxury Waterproof Watch Fashion Ladies Stainless Steel Ultra-Thin Casual Wristwatch Quartz Clock,US $12.79,US $13.59,92,93.6,4.7
4001231411717,229557341,Shengke New Design Women Watches Elegant 32 MM Dial Blue Mesh Band Reloj Mujer Japanese Quartz Movement  Luxury Relogio Feminino,US $13.43,US $13.43,92,98.3,4.9
32992148860,227810909,GUANQIN mechanical watch men waterproof automatic skeleton tourbillon clock men business top brand luxury Relogio Masculino,US $21.68,US $25.12,92,95.0,4.8
33005904049,230857184,AILANG Original design watch men's double flywheel automatic mechanical watch fashion casual business men's clock Original,US $57.50,US $57.50,90,94.2,4.7
4000763667614,238157601,Aieach Desktop Holder Tablet Stand For ipad 9.7 10.2 10.5 11 inch Rotation Aluminium Tablet Stand secure For Samsung Xiaomi,US $0.01,US $1.62,87,96.7,4.8
1005001625204735,244266647,UBETTA Real Hair Wigs Colored Bob Cut Human Hair Full Machine Wig Short Bob Hair Machine Made Wig Cosplay For Black Women,US $36.06,US $86.10,83,100.0,5.0
1005001622255038,244266647,UBETTA Real Hair Wigs Ombre U Part Wig Bob Human Hair Wigs Highlight Plucked Glueless Straight Brazilian  For Black Women,US $50.80,US $108.70,83,100.0,5.0
4001014920097,206060878,IMAGIC 10 Pack Makeup Mixer Soft Water Sponge Puff Professional Makeup Puff Sponge for  Makeup  Get bigger Combination packages,US $13.61,US $18.75,82,98.2,4.9
4000154211990,235428326,50L Large Capacity Men Army Military Tactical Backpack 3P Softback Outdoor Waterproof Bug Rucksack Hiking Camping Hunting Bags,US $25.29,US $50.24,81,97.0,4.8
32907970517,110475363,Dynamic Blinker Turn Signal LED For Volkswagen GOLF 5 GTI Variant Jetta MK5 Passat B5.5 B6 Plus EOS Sharan for VW Mirror light,US $19.76,US $22.75,82,97.7,4.9
4000142241252,230966556,REALER Women Crossbody Bags 2020 Small Shoulder Bag Leather Handbag Female Messenger Bags Wide Strap Soft PU for Ladies Fashion,US $10.58,US $10.58,82,93.3,4.7
1005001676469678,240445289,LIGE Luxury Smart Watch Men Waterproof Steel Band Fitness Watch Heart Rate Blood Pressure Activity Tracker Smartwatch for men's,US $35.99,US $35.99,82,100.0,5.0
1005001495780369,240468028,LIGE Women Men Smart Watch Luxury Blood Pressure Heart rate Fitness Watches Fashion Calorie Sport Wristwatch relogio feminino,US $24.29,US $24.29,82,100.0,5.0
32853969226,110475363,Kibowear For VW Golf MK7 7 7.5 GTI R GTD Dynamic Blinker LED Turn Signal Rline Mirror Light 2013 2015 2016 2018 2019 2020,US $20.86,US $24.40,81,98.0,4.9
32959703825,230094000,KINGSEVEN Natural Wooden Sunglasses Men Polarized Fashion Sun Glasses Original Wood Oculos de sol masculino,US $9.60,US $9.60,68,96.6,4.8
32942269574,226859031,Visofree Eyelashes Mink Eyelashes Criss-cross Strands Cruelty Free 3D 25mm Lashes Mink Lashes Soft Dramatic Eyelashes E80 Makeup,US $0.01,US $0.01,99,95.0,4.8
10000057200833,239679333,LSRC K20 Drone GPS 5G HD 4K Camera Professional 1800m Image Transmission Brushless Motor Foldable Quadcopter RC Dron Toy Gift,US $106.34,US $130.67,68,97.3,4.9
4000248019112,201453932,FLOVEME Gravity Car Phone Holder Air Vent Mount Mobile Phone Stand Holder For Car Cell Phone Holder Support Smartphone Voiture,US $0.01,US $2.48,90,95.3,4.8
4001065324060,230099369,A7 Mini Portable Wireless Bluetooth Speaker Stereo Speakerphone AUX TF Music Subwoofer Column USB Speakers for Computer Phones,US $8.25,US $14.85,78,95.8,4.8
32961929030,234831195,Strap for apple watch 5 band 44mm 40mm iwatch band 42mm 38mm stainless steel watchband metal Bracelet for series 6 4 3 38/44 mm,US $8.02,US $8.80,62,95.8,4.8
4001102865152,242186128,Mink Eyelash 10/20/30 Pairs Fake Lashes Wholesale 5D Mink Lashes Packaging Boxes Magnetic Eyelashes Mink 25mm Lashes In Bulk,US $22.00,US $67.76,56,95.4,4.8
32955044336,228289701,TRLIFE Bicycle Light L2/T6 USB Rechargeable 5200mAh Bike Light IPX5 Waterproof LED Headlight  as Power Bank Bike Accessories,US $12.28,US $23.62,73,94.9,4.7
4000177543702,238959442,MIUI Slow Juicer 7LV Screw Cold Press Extractor FilterFree Easy Wash Electric Fruit Juicer Machine Large Caliber 2020Multi-Color,US $114.96,US $114.96,76,97.8,4.9
4001032559619,231389210,LIGE 2020 New Fashion Blue Mens Watches Top Brand Luxury Clock Sports Chronograph Waterproof Quartz Watch Men Relogio Masculino,US $20.79,US $23.19,92,96.1,4.8
4000396249616,118782028,Relogio Masculino LIGE Hot Fashion Mens Watches Top Brand Luxury Wrist Watch Quartz Clock Blue Watch Men Waterproof Chronograph,US $18.89,US $21.59,91,95.8,4.8
1005001348554801,228373587,SINOBI Ladies Clock Luxury Rose Golden Women Watches Fashion Diamond Female Quartz Wristwatches Relogio Feminino Zegarek Damski,US $12.27,US $12.27,92,100.0,5.0
32789204361,229890389,MISSFOX Women Quartz Watch Fashion Bling Casual Ladies Watch Female Quartz Gold Watch Crystal Diamond Leopard For Women Clock,US $18.40,US $18.40,91,95.1,4.8
32961575942,231468103,2019 PAGANI DESIGN Brand Fashion Leather Gold Watch Men Automatic Mechanical Skeleton Waterproof Watches Relogio Masculino Box,US $49.49,US $49.49,91,96.8,4.8
1005001571624636,240514227,Men Mechanical Watch Gold OLEVS Luxury Automatic Watch diamond Sport Stainless Steel Waterproof Watch Men relogio masculino,US $50.00,US $50.00,91,100.0,5.0
32909599404,110475363,Dynamic Bright LED Turn Signal Crystal for VW Golf MK7 GTI 7 7.5 R Rline GTD Mirror Light clear  2013 2018 2019 2020 arrow,US $21.96,US $25.28,80,94.4,4.7
32856823222,110475363,Dynamic blinker for Audi A3 8V S3 RS3 S line Side Mirror light LEDTurn Signal 2013 2014 2015 2016 2017 2018 2019 2020,US $21.54,US $24.86,80,96.8,4.8
32921018805,234626888,NEWYES 8.5 Inch LCD Writing Tablet Digital Drawing Tablet Handwriting Pads Portable Electronic Tablet Board ultra-thin Board,US $8.82,US $9.24,58,97.7,4.9
32996330090,226533862,Towode Keyless USB Rechargeable Door Lock Fingerprint Smart Padlock Quick Unlock Zinc alloy Metal Self Developing Chip,US $14.13,US $15.00,73,94.4,4.7
32882212349,233082259,RtopR Mango Eye Cream Anti-Wrinkle Moisturizing Anti-Age Remove Dark Circles Eye Care Against Puffiness And Bags Hydrate Cream,US $3.35,US $3.35,76,97.2,4.9
4001277598937,236914696,ANLAN Mini Electric Facial Cleansing Brush Silicone Sonic Face Cleaner Skin Massager Deep Pore Cleaning Face Cleansing Brush,US $12.07,US $12.07,76,97.1,4.9
32949705462,229416392,ONEMIX men indoor shoes slip-on innner slippers high-elastic silk no glue environmentally light cool man indoor working shoes,US $14.52,US $14.52,76,92.7,4.6
4000226588499,239245235,Outdoor Waterproof Wall Lamp Modern LED Wall Light Indoor Wall Sconce Decorative lighting Porch Garden Lights Wall Lamps RF01,US $8.75,US $13.75,75,98.1,4.9
4001270835600,221841414,ICEbear 2020 New Winter Women Jacket Female Clothing Hooded Women's Parkas Brand apparel GWD19068I,US $55.39,US $55.39,71,98.2,4.9
4000926817937,235072425,Orthopedic Insoles Orthotics Flat Foot Health Sole Pad For Shoes Insert Arch Support Pad For Plantar fasciitis Feet Care Insoles,US $2.57,US $4.39,76,97.6,4.9
4000627721951,228352069,Smart Dome Camera 1080p Powered by YI Pan/Tilt/Zoom Wireless Wi-Fi IP Cam Security Surveillance Camera YI Cloud,US $24.00,US $28.80,76,98.9,4.9
1005001284295996,221841414,icebear 2020 new women hooded jacket quality parka casual winter thick cotton clothing winter brand apparel GWD20233I,US $44.64,US $44.64,76,97.7,4.9
32957758361,234534949,KINGSEVEN 2020 Mens Sunglasses Polarized Walnut Wood Mirror Lens Sun Glasses Women Brand Design Colorful Shades Handmade,US $10.08,US $10.08,66,96.6,4.8
4001278173435,201712709,Bear Leader Girls Winter Clothes Set Long Sleeve Sweater Shirt Skirt 2 Pcs Clothing Suit Bow Baby Outfits for Kids Girls Clothes,US $8.06,US $15.71,44,97.7,4.9
32998627268,226024479,GameSir T4w USB Wired Game Controller Gamepad with Vibration and Turbo Function Joystick for Windows 7/8/10,US $18.50,US $18.50,75,96.9,4.8
32852808447,201220370,SAMSUNG SSD 860 EVO 250GB 500GB Internal Solid State Disk HDD Hard Drive SATA3 2.5 250 GB 1TB inch Laptop Desktop PC TLC disco d,US $49.30,US $167.65,74,98.4,4.9
4001059345290,239679333,LSRC 2020 New Quadcopter Drone E525 HD 4K 1080P Camera and WiFi FPV HeightKeeping RC Foldable Quadcopter Dron Toy Gift,US $29.36,US $56.98,55,96.3,4.8
4000506892182,230398196,Ruffle Lace 2020 New Spring Blouse Shirts Women's Tops Long Sleeve Bow Vintage shirt Women's Elegant Top Fashion Shirt 559B,US $14.92,US $15.08,75,98.2,4.9
4001205745680,220191953,Women Lingerie Bra Brassiere Thin Bras Soft Women Sexy Bralette Push Up Bra Brallete Fitness Tops Brassiere Female Underwear,US $7.00,US $7.00,75,95.8,4.8
